Titel;Album;Interpret;Jahr
Please,Mrs. Henry;The Basement Tapes;Bob Dylan;1975
Ruben Remus;The Basement Tapes;Bob Dylan;1975
Tears Of Rage;The Basement Tapes;Bob Dylan;1975
This Wheel's On Fire;The Basement Tapes;Bob Dylan;1975
Tiny Montgomery;The Basement Tapes;Bob Dylan;1975
Too Much Of Nothing;The Basement Tapes;Bob Dylan;1975
Yazoo Street Scandal;The Basement Tapes;Bob Dylan;1975
Yea! Heavy And A Bottle Of Bread;The Basement Tapes;Bob Dylan;1975
You Ain't Goin' Nowhere;The Basement Tapes;Bob Dylan;1975
All Along The Watchtower;The Best Of Bob Dylan;Bob Dylan;1997
Blowin' In The Wind;The Best Of Bob Dylan;Bob Dylan;1997
Don't Think Twice, It's All Right;The Best Of Bob Dylan;Bob Dylan;1997
Everything Is Broken;The Best Of Bob Dylan;Bob Dylan;1997
Forever Young;The Best Of Bob Dylan;Bob Dylan;1997
Gotta Serve Somebody;The Best Of Bob Dylan;Bob Dylan;1997
I Shall Be Released;The Best Of Bob Dylan;Bob Dylan;1997
If Not For You;The Best Of Bob Dylan;Bob Dylan;1997
Just Like A Woman;The Best Of Bob Dylan;Bob Dylan;1997
Knockin' On Heaven's Door;The Best Of Bob Dylan;Bob Dylan;1997
Lay Lady Lay;The Best Of Bob Dylan;Bob Dylan;1997
Like A Rolling Stone;The Best Of Bob Dylan;Bob Dylan;1997
Mr. Tambourine Man;The Best Of Bob Dylan;Bob Dylan;1997
Oh, Sister;The Best Of Bob Dylan;Bob Dylan;1997
Shelter From The Storm;The Best Of Bob Dylan;Bob Dylan;1997
Tangled Up In Blue;The Best Of Bob Dylan;Bob Dylan;1997
The Times They Are A-Changin';The Best Of Bob Dylan;Bob Dylan;1997
A Hard Rain's A-Gonna Fall;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Blowin' In The Wind (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Changing Of The Guards;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Dignity;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Highlands (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Highway 61 Revisited;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Hurricane;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
I Want You;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
I'll Be Your Baby Tonight;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
It Ain't Me Babe;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
License To Kill;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Not Dark Yet;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Positively Fourth Street;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Quinn The Eskimo;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Rainy Day Women Numbers 12 And 35;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Silvio;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Simple Twist Of Fate;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Subterranean Homesick Blues;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Things Have Changed;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Can't Wait;Time Out Of Mind;Bob Dylan;1997
Cold Irons Bound;Time Out Of Mind;Bob Dylan;1997
Dirt Road Blues;Time Out Of Mind;Bob Dylan;1997
Highlands;Time Out Of Mind;Bob Dylan;1997
Love Sick;Time Out Of Mind;Bob Dylan;1997
Make You Feel My Love;Time Out Of Mind;Bob Dylan;1997
Million Miles;Time Out Of Mind;Bob Dylan;1997
Not Dark Yet;Time Out Of Mind;Bob Dylan;1997
Standing In The Doorway;Time Out Of Mind;Bob Dylan;1997
Til I Fell In Love With You;Time Out Of Mind;Bob Dylan;1997
Tryin' To Get To Heaven;Time Out Of Mind;Bob Dylan;1997
Born In Time;Under The Red Sky;Bob Dylan;1990
Cat's In The Wheel;Under The Red Sky;Bob Dylan;1990
God Knows;Under The Red Sky;Bob Dylan;1990
Handy Dandy;Under The Red Sky;Bob Dylan;1990
T.V. Talkin' Song;Under The Red Sky;Bob Dylan;1990
Ten Thousand Men;Under The Red Sky;Bob Dylan;1990
Two Times Two;Under The Red Sky;Bob Dylan;1990
Unbelievable;Under The Red Sky;Bob Dylan;1990
Under The Red Sky;Under The Red Sky;Bob Dylan;1990
Wiggle Wiggle;Under The Red Sky;Bob Dylan;1990
